email,item_name,details
onealcory@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
glopez@figueroa.net,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
glopez@figueroa.net,King Down Pillow,"[""King"",""Down"",""Pillow""]"
glopez@figueroa.net,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
chadcolon@ramirez.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
troyturner@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
troyturner@gmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
jeffrey62@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
flandry@giles.org,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
rebecca8267@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
ruthmoore@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
alexandertyler@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
boothashley@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
boothashley@hotmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
boothashley@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
villajustin@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
vjohnson@montgomery-wilson.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
brooke60@ferrell.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
osanchez28@yahoo.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
osanchez28@yahoo.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
david24@donovan.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
bryan65@smith-choi.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
sarahgriffin@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
egarner@wallace.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
egarner@wallace.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
scottwalker57@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
davidshelton@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
zbrown49@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
hubbardanthony@hotmail.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
alexandra72@yahoo.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
samuel82@waters.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
brettyoung@williams.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
yatesjames@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
ijackson98@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
swilliams@sparks.biz,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kelly67@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
courtneyrhodes@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
deborahfuller@davis-fuller.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
eweeks48@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
alexander03@washington-parker.net,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
alexander03@washington-parker.net,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
ashley7478@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
cschmidt@peterson-mcdowell.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
zbrown14@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kleinkristina@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
ewright@cantrell.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
gfoley@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
zacharyfisher@brown.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
kimberlyfrey@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
esilva@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
jimenezandrew@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
fbrady@gmail.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
thomas6217@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
henry49@tran-cook.net,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
grayjennifer@bell.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
marywilson2@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
jakefoster@carroll.org,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
bradleykim@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
waynekent@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
davidcastillo@best.net,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
maria28@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
maria28@yahoo.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
marybarnes@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
sandovalaustin@holder.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
uguerrero@hotmail.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
ryanclayton@roberts.info,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
wilkinsmichael@brennan-day.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
xmitchell81@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
kingrebecca@camacho.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kingrebecca@camacho.com,King Down Pillow,"[""King"",""Down"",""Pillow""]"
halejames@garcia.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
courtneypierce@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
matthewknight@hotmail.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
revans@jordan-turner.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
revans@jordan-turner.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
toddsnow@hinton-johnson.info,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
mariataylor@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
burnsallen@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
bbradley@yahoo.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
kdavis@tyler.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
yrobinson@myers-young.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
lyonswanda@gmail.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
tmeyer@villegas-schmidt.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
dhernandez@lynch.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
megandowns@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
aguirrejessica@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
perkinslori@hart-gomez.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
dhernandez@whitaker.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
shawngreene@gmail.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
leslie92@hotmail.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
cameronmichelle@sanchez.net,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
patriciastevens@parks-mitchell.net,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
lopezautumn@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
walter47@bennett.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
garciachristopher@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
chloerivera@davis.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
chloerivera@davis.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
morrismary@gmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
joshuaharris@bailey-valdez.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
zlittle@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
knightmary@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
gregorykrause@hunt-molina.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
williamsjoann@morales.net,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
aaronhall@johnson.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
christina60@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
boydkimberly56@yahoo.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
boydkimberly56@yahoo.com,King Foam Pillow,"[""King"",""Foam"",""Pillow""]"
sarah43@gmail.com,King Foam Pillow,"[""King"",""Foam"",""Pillow""]"
owilliams85@gmail.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
michelle4695@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
prestonnelson@gmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
robert60@singh.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
dylan01@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
pattonjamie@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kaylabuchanan@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
kaylabuchanan@yahoo.com,King Foam Pillow,"[""King"",""Foam"",""Pillow""]"
moranjeffrey@cervantes.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
jcameron38@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
angelabarker@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
bryantjanice@george.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
ctaylor66@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
carl93@hill.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
carl93@hill.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
wschwartz@smith-martin.biz,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
james8876@hotmail.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
smithandrew2@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
sean54@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
andersonamy@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
stevenramirez@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
jennifer26@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
leethomas@daniels.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
nathan70@gmail.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
paynetracy@maxwell-anderson.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
paynetracy@maxwell-anderson.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
kenneth2973@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
porterjose@rodriguez-long.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
sheila32@clark.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
dcook60@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
antonio97@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
nhogan@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
whitefaith@sheppard.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
rollinstracy@webb.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
qschaefer@gonzalez.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
pbooth42@hotmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
pbooth42@hotmail.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
frank51@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
myersphillip@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
vglover@mercer.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
pjohnson33@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
jacksoncollin@rodgers-glenn.org,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
romerotracey@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
samanthabray@nelson.com,King Foam Pillow,"[""King"",""Foam"",""Pillow""]"
danielle3625@hotmail.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
rpalmer@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
greenmeagan@choi.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
victorbullock@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
crystal81@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
afoster@gmail.com,King Foam Pillow,"[""King"",""Foam"",""Pillow""]"
jwhite@park-peterson.biz,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
meghan84@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
danielwong@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
warren34@nguyen-watkins.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
bennettcassandra@haynes.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
garciapatrick@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
archertimothy@yahoo.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
jamescaitlin@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
jamescaitlin@hotmail.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
edwardsmarissa73@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
samuelross@guerrero.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
tranpeter18@yahoo.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
tranpeter18@yahoo.com,King Down Pillow,"[""King"",""Down"",""Pillow""]"
tranpeter18@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
abbottstacy@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
raymondsharon@watkins.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
gravestracy@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
bklein@peters.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
rmoore82@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
ecopeland@wilson.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
jack32@gmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
feliciaclark@harris.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
urichardson@cooper.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
pjones61@gmail.com,Premium Queen Mattress,"[""Premium"",""Queen"",""Mattress""]"
bethany13@gmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
brucecolin@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
brucecolin@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kirbyteresa@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
llewis@moss.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
amywatson@boyd.net,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
willie56@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
willie56@yahoo.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
willie56@yahoo.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
antoniorivera@warren.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
mark0865@yahoo.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
devinjordan@rodriguez.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
kathleenjordan@rodriguez.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
zhill61@hotmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
hlee89@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
amartinez@ruiz.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
arianacarr@hotmail.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
matthew7384@hotmail.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
hthomas71@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
jamie54@burns-oconnell.info,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
rcox42@yahoo.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
gwilliams@lane-swanson.info,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
ingramjeremiah@anthony.info,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
franklin31@davis.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
webbandrea@carrillo.org,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
alyssa54@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
mhines@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
swashington85@yahoo.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
kgomez@harper-roberts.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
oneallisa@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
oneallisa@hotmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
garycopeland@yahoo.com,Premium Full Mattress,"[""Premium"",""Full"",""Mattress""]"
christian3572@gmail.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
christopherroberts@yahoo.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
matthewscott31@yahoo.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
kellyestes@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
kellyestes@gmail.com,Premium King Mattress,"[""Premium"",""King"",""Mattress""]"
kellyestes@gmail.com,Standard Foam Pillow,"[""Standard"",""Foam"",""Pillow""]"
bushjesse@gardner-curtis.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
john7750@gmail.com,Standard Full Mattress,"[""Standard"",""Full"",""Mattress""]"
laurajones@jackson.com,Standard Twin Mattress,"[""Standard"",""Twin"",""Mattress""]"
ddrake9@hotmail.com,Standard Queen Mattress,"[""Standard"",""Queen"",""Mattress""]"
chad93@washington-coffey.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
msmith@monroe.com,Premium Twin Mattress,"[""Premium"",""Twin"",""Mattress""]"
msmith@monroe.com,Standard Down Pillow,"[""Standard"",""Down"",""Pillow""]"
monicahuff@powell.com,Standard King Mattress,"[""Standard"",""King"",""Mattress""]"
